Id,Projectnaamafkorting,Buurtcode,Buurtnaam,Wijkcode,Wijknaam,Gebiedcode,Gebiednaam,Stadsdeelcode,Stadsdeelnaam,Zelfbouw,Socialehuurcorporatie,Plaberumpublicatie,Startbouwgepland,Startbouwgerealiseerd,Socialehuurzelfstperm,Middeldurehuur,Socialekoop,Vrijesectorhuur,Vrijesectorkoop,Vrijesectornb,Onbekend,Jongeren,Studenten,Shonzelfstenoftijdelijk,Onzelfstandig,Tijdelijk,Totaal,Totaalzelfstperm,Peildatum,Geometrie
8045,Overamstel/Weespertrekvaart_Oost - Gefaseerd ontwikkelen Weespertrekvaart Oost blok 12,MQ07,Weespertrekvaart,MQ,Omval/Overamstel,GM16,Watergraafsmeer,M,Oost,n.b.,n.b.,Fase 2&3: Haalbaarheid en ontwerp,2031-06-03,,45,45,0,0,0,23,0,n.b.,n.b.,n.b.,n.b.,n.b.,113,113,2023-07-01,"SRID=28992;MULTIPOLYGON (((123757.8256577448 483484.6174582831, 123745.6970169327 483506.6248991144, 123638.7289970823 483447.652518664, 123650.7278215756 483425.6456384902, 123757.8256577448 483484.6174582831)))"
8046,Overamstel/Weespertrekvaart_Oost - Gefaseerd ontwikkelen Weespertrekvaart Oost blok 13,MQ07,Weespertrekvaart,MQ,Omval/Overamstel,GM16,Watergraafsmeer,M,Oost,n.b.,n.b.,Fase 2&3: Haalbaarheid en ontwerp,2032-11-30,,45,45,0,0,0,23,0,n.b.,n.b.,n.b.,n.b.,n.b.,113,113,2023-07-01,"SRID=28992;MULTIPOLYGON (((123729.1183455549 483386.5503230717, 123704.0758515309 483434.6649672572, 123659.278388097 483410.1364020773, 123684.8810132339 483363.3420571386, 123729.1183455549 483386.5503230717)))"
8047,WTV Oost blok 14,MQ07,Weespertrekvaart,MQ,Omval/Overamstel,GM16,Watergraafsmeer,M,Oost,n.b.,n.b.,Fase 2&3: Haalbaarheid en ontwerp,2030-12-02,,45,45,0,0,0,23,0,n.b.,n.b.,n.b.,n.b.,n.b.,113,113,2023-07-01,"SRID=28992;MULTIPOLYGON (((123758.5896945729 483464.2507659161, 123712.9060823323 483439.6160541387, 123736.8605196654 483392.9548106078, 123784.6807987693 483420.2355248747, 123758.5896945729 483464.2507659161)))"
8048,WTV Oost blok 15,MQ07,Weespertrekvaart,MQ,Omval/Overamstel,GM16,Watergraafsmeer,M,Oost,n.b.,n.b.,Fase 2&3: Haalbaarheid en ontwerp,2030-06-03,,45,45,0,0,0,23,0,n.b.,n.b.,n.b.,n.b.,n.b.,113,113,2023-07-01,"SRID=28992;MULTIPOLYGON (((123758.5896945729 483464.2507659161, 123784.6807987693 483420.2355248747, 123805.9810751702 483490.6553862553, 123758.5896945729 483464.2507659161)))"
8049,WTV Oost blok 16 en 17,MQ07,Weespertrekvaart,MQ,Omval/Overamstel,GM16,Watergraafsmeer,M,Oost,n.b.,n.b.,Fase 2&3: Haalbaarheid en ontwerp,2031-12-01,,45,45,0,0,0,23,0,n.b.,n.b.,n.b.,n.b.,n.b.,113,113,2023-07-01,"SRID=28992;MULTIPOLYGON (((123684.8810132339 483363.3420571386, 123719.9216322488 483300.0428313686, 123731.4867953016 483296.6316148211, 123748.7215958431 483305.9802610235, 123756.933399038 483332.7436647072, 123729.1183455549 483386.5503230717, 123684.8810132339 483363.3420571386)), ((123736.8605196654 483392.9548106078, 123761.1077737648 483346.1805724152, 123784.6807987693 483420.2355248747, 123736.8605196654 483392.9548106078)))"
8054,Sloterdijk 1 Zuid (4),EA02,Contactbuurt,EA,Sloterdijk-West,GE03,Westerpark,E,West,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2027-11-30,,78,78,0,0,0,38,0,n.b.,n.b.,n.b.,n.b.,n.b.,194,194,2023-07-01,"SRID=28992;MULTIPOLYGON (((118491.2882510756 489447.6779000268, 118494.5121578872 489330.4875145517, 118686.0692776228 489330.5089085129, 118683.7180499362 489454.046172737, 118491.2882510756 489447.6779000268)))"
8055,Sloterdijk 1 Zuid (5),EA02,Contactbuurt,EA,Sloterdijk-West,GE03,Westerpark,E,West,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2028-11-28,,120,120,0,0,0,60,0,n.b.,n.b.,n.b.,n.b.,n.b.,300,300,2023-07-01,"SRID=28992;MULTIPOLYGON (((118494.5121578872 489330.4875145517, 118494.4755155747 489189.3984064216, 118687.9011812722 489190.9638640466, 118686.0692776228 489330.5089085129, 118494.5121578872 489330.4875145517)))"
8056,Sloterdijk 1 Zuid (6),EA02,Contactbuurt,EA,Sloterdijk-West,GE03,Westerpark,E,West,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2029-11-27,,140,140,0,0,0,70,0,n.b.,n.b.,n.b.,n.b.,n.b.,350,350,2023-07-01,"SRID=28992;MULTIPOLYGON (((118683.7038700796 489453.044854106, 118686.0692776228 489330.5089085129, 118791.6986238942 489326.3943132242, 118794.8159260141 489455.2322792582, 118683.7038700796 489453.044854106)))"
8057,Sloterdijk I Zuid - Uitvoering fase 7 woningbouw Sloterdijk 1 [4692 won. in 12 jaar div categorien],EA02,Contactbuurt,EA,Sloterdijk-West,GE03,Westerpark,E,West,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2030-11-26,,140,140,0,0,0,70,0,n.b.,n.b.,n.b.,n.b.,n.b.,350,350,2023-07-01,"SRID=28992;MULTIPOLYGON (((118686.0692776228 489330.5089085129, 118687.9011812722 489190.9638640466, 118793.0938372704 489191.8707813377, 118791.6986238942 489326.3943132242, 118686.0692776228 489330.5089085129)))"
8058,Sloterdijk I Zuid - Uitvoering fase 8 woningbouw Sloterdijk 1 [4692 won. in 12 jaar div categorien],EA02,Contactbuurt,EA,Sloterdijk-West,GE03,Westerpark,E,West,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2031-11-25,,161,161,0,0,0,81,0,n.b.,n.b.,n.b.,n.b.,n.b.,403,403,2023-07-01,"SRID=28992;MULTIPOLYGON (((119039.2386336061 489319.5874390792, 119039.708328223 489319.584014826, 119027.0800807612 489389.5531102644, 119018.9115946213 489389.6126900964, 119011.0896439889 489391.4500613093, 119004.5070857704 489394.2798225372, 118996.9897232919 489398.6741838849, 118988.8797386227 489406.7447654196, 118982.6243535421 489418.017496408, 118950.7716239032 489484.0213968108, 118894.8003030774 489472.636257978, 118909.0942439413 489322.6520797721, 119039.2386336061 489319.5874390792)))"
8059,Sloterdijk I Zuid - Uitvoering fase 9 woningbouw Sloterdijk 1 [4692 won. in 12 jaar div categorien],EA02,Contactbuurt,EA,Sloterdijk-West,GE03,Westerpark,E,West,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2032-11-23,,161,161,0,0,0,81,0,n.b.,n.b.,n.b.,n.b.,n.b.,403,403,2023-07-01,"SRID=28992;MULTIPOLYGON (((118909.0942439413 489322.6520797721, 118916.8049903247 489194.8586996355, 119042.9923854026 489199.5007052624, 119039.2386336061 489319.5874390792, 118909.0942439413 489322.6520797721)))"
8060,Sloterdijk I Zuid - Uitvoeringsfase 10 woningbouw Sloterdijk 1 (4692 won. in 12 jaar div categorien),FA08,Sloterdijk Stationskwartier,FA,Sloterdijk Nieuw-West,GF06,Sloterdijk Nieuw-West,E,West,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2033-11-22,,180,180,0,0,0,90,0,n.b.,n.b.,n.b.,n.b.,n.b.,450,450,2023-07-01,"SRID=28992;MULTIPOLYGON (((118116.9157194055 489314.6032890819, 118118.7868564722 489219.7878463778, 118042.530827759 489218.4670163721, 118044.3146124535 489183.9601651977, 118258.5852470558 489179.9115959964, 118264.926805504 489317.5044569607, 118189.2228992376 489316.0659922018, 118116.9157194055 489314.6032890819)))"
8063,JanEvertsen-WTennispark(1),FE03,Noordoever Sloterplas,FE,Slotermeer-Zuidoost,GF07,"Geuzenveld, Slotermeer",F,Nieuw-West,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2025-01-28,,165,220,0,0,0,165,0,n.b.,n.b.,n.b.,n.b.,n.b.,550,550,2023-07-01,"SRID=28992;MULTIPOLYGON (((117271.4940106098 487161.9393130579, 117284.0579231914 487158.1714043638, 117321.4740189227 487294.5128958948, 117308.4235331956 487296.9492005361, 117301.7448951406 487270.5070441396, 117271.4940106098 487161.9393130579)))"
8065,Kauwgomballenkwartier 1e tr.,MQ05,Amstelkwartier-Noord,MQ,Omval/Overamstel,GM16,Watergraafsmeer,M,Oost,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2025-02-17,,35,35,0,0,0,18,0,n.b.,n.b.,n.b.,n.b.,n.b.,88,88,2023-07-01,"SRID=28992;MULTIPOLYGON (((123010.6719869035 483152.1482279271, 122835.9303367784 483081.8492095647, 122907.9310650465 482907.0144122912, 123040.4658135523 482974.2619367946, 123093.738165954 483000.1766666032, 123010.6719869035 483152.1482279271)))"
8066,Overamstel/Kauwgomballenkwartier Algemeen - Realiseren Kauwgomballenkwartier 2e tranche,MQ05,Amstelkwartier-Noord,MQ,Omval/Overamstel,GM16,Watergraafsmeer,M,Oost,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2025-09-08,,100,100,0,0,0,50,0,n.b.,n.b.,n.b.,n.b.,n.b.,250,250,2023-07-01,"SRID=28992;MULTIPOLYGON (((123010.6719869035 483152.1482279271, 123093.738165954 483000.1766666032, 123177.1501455342 483040.7964120417, 123288.6690531305 483095.0564465451, 123141.6820712457 483174.445284536, 123127.7868538729 483175.8812323227, 123116.8097584312 483195.4126650759, 123010.6719869035 483152.1482279271)))"
8067,OA/KBK Algemeen - Realiseren Kauwgomballenkwartier woningen 3e tranche (Indicatief),MQ04,Amstelkwartier-West,MQ,Omval/Overamstel,GM16,Watergraafsmeer,M,Oost,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2027-09-06,,100,100,0,0,0,50,0,n.b.,n.b.,n.b.,n.b.,n.b.,250,250,2023-07-01,"SRID=28992;MULTIPOLYGON (((122907.9310650465 482907.0144122912, 122981.5997588762 482726.8513911864, 123124.6304368557 482792.2417855456, 123040.4658135523 482974.2619367946, 122907.9310650465 482907.0144122912)))"
8068,OA/KBK Algemeen - Realiseren Kauwgomballenkwartier woningen 4e tranche (Indicatief),MQ06,Amstelkwartier-Zuid,MQ,Omval/Overamstel,GM16,Watergraafsmeer,M,Oost,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2029-09-03,,100,100,0,0,0,50,0,n.b.,n.b.,n.b.,n.b.,n.b.,250,250,2023-07-01,"SRID=28992;MULTIPOLYGON (((123314.7297400931 482949.9083644029, 123248.2332570909 482922.7410159955, 123235.8874885667 482952.1948509411, 123269.0886627866 482965.8898993463, 123292.8903051291 483009.3537647249, 123307.4255880888 483001.3605549045, 123295.7015254802 482980.0725073121, 123306.0036448091 482969.8922454633, 123314.7297400931 482949.9083644029)), ((123177.1501455342 483040.7964120417, 123288.6690531305 483095.0564465451, 123351.9665026804 483051.354345481, 123343.3326534413 483041.5693163434, 123322.6114152676 482997.8244801988, 123282.8957087679 483013.3654088291, 123263.901240442 482975.9520621265, 123229.3658434858 482957.5331837499, 123177.1501455342 483040.7964120417)))"
